id	C1	C2
RNF14	53.3653467074	57.6769478694
HIF3A	97.6137236357	82.6390589476
UBE2Q2	87.1419671327	87.0941947252
RNF10	97.5804605484	89.5783896446
RNF11	92.3869628906	93.0984191895
GPAA1	420.552914254	380.074278466
REM1	1.97558709979	0.196951888502
REM2	22.4816515967	17.4021256492
IMP4	199.170320839	177.519998163
C16orf11	9.47312956303	8.09120731801
RNF17	2.16647077352	2.16647077352
MZT2A	65.6995605603	45.2001730576
MZT2B	72.4249000251	56.4553191364
NDP	6.36552206427	8.20690242201
PMM2	48.0525036901	52.0257337615
UBE2F	60.2591127232	73.3292877898
PMM1	118.23268953	113.559892885
ASS1	175.083413132	147.726641849
MLLT11	28.2981100082	31.3305473328
FHIT	32.6830513626	39.6489112526
ZNF709	13.8965737	20.3829978034
ZNF708	30.5489218235	37.2366948128
ZNF879	19.8272693381	34.6698017642
ZNF878	0.0787807554007	0.0787807554007
LRRTM4	72.9173642769	68.9414701164
CAMK1	93.5201687217	69.5245947242
ZNF701	17.3523748443	16.3546300977
ZNF700	43.992570743	49.2892104238
ZNF707	49.6676016226	52.2959580794
CEACAM3	0.315123021603	0.315123021603
ZNF704	46.9255691022	43.6577071771
ABHD12B	7.69854083657	9.47618279606
AC092118.1	0.118171133101	0.118171133101
RNF114	99.9869525954	101.059707455
RNF115	48.0347287357	46.9554440677
ZC3H15	109.061480276	121.938042395
ZC3H14	198.713582642	214.952805646
SPN	24.8285597935	24.7853445187
RNF111	149.535446405	176.902416945
IQCA1	14.1151739582	7.1482809186
ZC3H18	99.6816600934	96.6898402348
GRIN1	27.0032102168	14.1495229304
AC145676.2	0.0393903777003	3.34432125092
SP8	23.1515141055	23.3246548697
DHX9	290.984029606	313.502565406
CBX2	55.454396829	46.9315091223
LRRTM3	16.167942889	16.3666405901
NUP98	739.431494653	780.524672739
XPC	315.339685835	326.605623402
SP1	77.77557908	79.566225633
XPA	32.1437274292	51.3583615348
SP3	153.090785608	163.887586698
SP4	126.96217595	124.394196324
SP5	8.03809481114	5.74865494668
SP6	10.1804817244	7.49686556309
CAMKV	323.24479311	277.462557271
TACSTD2	8.64300727844	6.7198343277
GOLIM4	114.067285165	106.799183048
OPA3	35.3227405548	35.2637972832
OPA1	217.646136746	232.711956963
RAB40C	39.6653135866	33.1040693372
RAB40B	19.9692207947	15.6353391781
RAB40A	22.6534336135	21.9845912978
AC016722.1	3.91178382188	3.56366408616
RP11-190A12.7	0.0	0.0
COL7A1	187.993684523	134.805550799
MDP1	65.6461925134	45.6455584243
GTSE1	138.656839661	144.038340859
FAM183A	38.8582638875	26.4490915611
OVCH2	6.43883620948	1.10293057561
OVCH1	1.10293057561	1.10293057561
FAM183B	1.85741596669	0.0787807554007
AKR1D1	3.20215541869	6.18129392713
PSAP	404.387137353	399.701969564
MYO3A	72.0326046795	83.4897628501
ITGA9	73.8886652961	76.3764392436
UGCG	129.08955995	145.333341993
MYO3B	2.05436785519	3.48488333076
RP4-559A3.7	0.0	0.0
ATP2A1	59.3602548614	52.2757491991
ATP2A2	68.7370090485	68.0265455246
ATP2A3	49.0834112167	38.3437849134
AL844853.1	0.0	0.0
GCG	0.433294154704	0.433294154704
ITGA2	139.991755731	223.091575563
ITGA3	192.083397113	159.252238236
ITGA4	41.3406292722	61.7491914332
ITGA5	176.254832096	174.459670134
RIT1	63.531851396	65.6260968298
ITGA7	227.209992059	201.22590173
TRHR	5.34077063948	0.196951888502
DENND4A	89.8403768465	97.6153013632
DENND4B	530.890135199	480.374353558
RP11-303O9.2	0.0	0.0
ELL3	97.2352603972	81.2120038569
SWAP70	263.904378146	273.010482334
RARRES1	5.39392690361	10.7851418853
PHLDA1	63.3834295273	57.0155162811
PHLDA3	123.63756638	93.8859537169
PHLDA2	15.7924385071	12.281206131
